county,fips_county,dcedregion,Lat,Long_,year,month,JH_cases,Labor_Force,Employed,Unemployed,Unemployment_Rate
Schuylkill,42107,2: NE Pa.,40.70497338,-76.2150785,2020,Sep,201,"65,900","60,900","5,000",7.60%
Snyder,42109,4: Cent Pa.,40.77129231,-77.06840691,2020,Sep,178,"19,700","18,700","1,000",4.90%
Somerset,42111,4: Cent Pa.,39.97172723,-79.02699593,2020,Sep,55,"32,700","30,300","2,300",7.10%
Sullivan,42113,2: NE Pa.,41.44634738,-76.51246591,2020,Sep,3,"2,600","2,400",200,6.70%
Susquehanna,42115,2: NE Pa.,41.82147784,-75.80071959,2020,Sep,30,"19,600","18,400","1,200",5.90%
Tioga,42117,2: NE Pa.,41.77255149,-77.25433032,2020,Sep,29,"19,100","17,700","1,400",7.30%
Union,42119,4: Cent Pa.,40.96188846,-77.05996014,2020,Sep,95,"19,400","18,400","1,000",5.10%
Venango,42121,6: NW Pa.,41.40323442,-79.75845449,2020,Sep,18,"21,800","20,200","1,600",7.30%
Warren,42123,6: NW Pa.,41.81304978,-79.26969577,2020,Sep,17,"18,600","17,400","1,300",6.70%
Washington,42125,5: SW Pa.,40.19208869,-80.24582867,2020,Sep,321,"105,200","96,800","8,400",7.90%
Wayne,42127,2: NE Pa.,41.64938475,-75.29956506,2020,Sep,63,"21,000","19,500","1,500",7.30%
Westmoreland,42129,5: SW Pa.,40.3137798,-79.46615476,2020,Sep,462,"176,500","163,800","12,700",7.20%
Wyoming,42131,2: NE Pa.,41.51955538,-76.01074915,2020,Sep,11,"12,900","12,000",900,6.60%
York,42133,3: SC Pa.,39.9210089,-76.73040131,2020,Sep,"1,573","235,100","220,000","15,200",6.40%
Adams,42001,3: SC Pa.,39.87140411,-77.21610347,2020,Oct,327,"55,700","53,200","2,500",4.50%
Allegheny,42003,5: SW Pa.,40.46809875,-79.98167747,2020,Oct,"3,448","632,400","587,800","44,500",7.00%
Armstrong,42005,5: SW Pa.,40.81665618,-79.46290811,2020,Oct,321,"31,200","29,100","2,200",6.90%
Beaver,42007,5: SW Pa.,40.6825484,-80.34921611,2020,Oct,401,"82,300","75,900","6,400",7.70%
Bedford,42009,4: Cent Pa.,40.00522157,-78.48998442,2020,Oct,202,"23,400","21,900","1,500",6.60%
Berks,42011,2: NE Pa.,40.41570541,-75.92457766,2020,Oct,"2,376","222,500","207,400","15,100",6.80%
Blair,42013,4: Cent Pa.,40.47961444,-78.34917412,2020,Oct,660,"57,700","54,200","3,500",6.00%
Bradford,42015,2: NE Pa.,41.78869215,-76.51570822,2020,Oct,694,"28,400","26,800","1,600",5.60%
Bucks,42017,1: SE Pa.,40.33682119,-75.10836643,2020,Oct,"1,552","333,300","312,200","21,100",6.30%
Butler,42019,5: SW Pa.,40.91152759,-79.91351055,2020,Oct,766,"96,100","90,900","5,200",5.40%
Cambria,42021,4: Cent Pa.,40.49527404,-78.71377428,2020,Oct,612,"55,800","52,100","3,600",6.50%
Cameron,42023,6: NW Pa.,41.43625568,-78.20376845,2020,Oct,2,"2,000","1,800",200,7.60%
Carbon,42025,2: NE Pa.,40.91545395,-75.7068525,2020,Oct,142,"31,200","29,100","2,100",6.80%
Centre,42027,4: Cent Pa.,40.92058903,-77.82200624,2020,Oct,"1,562","76,600","73,500","3,200",4.20%
Chester,42029,1: SE Pa.,39.97291773,-75.74768357,2020,Oct,"1,240","276,800","263,300","13,500",4.90%
Clarion,42031,6: NW Pa.,41.19265812,-79.42413524,2020,Oct,117,"16,900","16,000",900,5.30%
Clearfield,42033,6: NW Pa.,41.00110782,-78.47592663,2020,Oct,167,"35,400","33,100","2,300",6.40%
Clinton,42035,4: Cent Pa.,41.23255967,-77.63785995,2020,Oct,70,"17,800","16,800","1,100",6.10%
Columbia,42037,2: NE Pa.,41.04821986,-76.40565017,2020,Oct,155,"33,700","31,800","1,900",5.50%
Crawford,42039,6: NW Pa.,41.68447709,-80.10760592,2020,Oct,255,"37,400","34,900","2,400",6.50%
Cumberland,42041,3: SC Pa.,40.1625372,-77.26130755,2020,Oct,646,"131,700","125,300","6,400",4.90%
Dauphin,42043,3: SC Pa.,40.41377078,-76.77993242,2020,Oct,"1,102","145,700","135,700","10,000",6.90%
Delaware,42045,1: SE Pa.,39.91680171,-75.40243663,2020,Oct,"2,352","298,300","276,500","21,700",7.30%
Elk,42047,6: NW Pa.,41.42822061,-78.64524744,2020,Oct,104,"14,800","13,600","1,200",8.20%
Erie,42049,6: NW Pa.,41.99253829,-80.03301954,2020,Oct,656,"122,900","113,500","9,400",7.70%
Fayette,42051,5: SW Pa.,39.92041012,-79.64291195,2020,Oct,249,"55,800","50,900","4,800",8.60%
Forest,42053,6: NW Pa.,41.51095103,-79.23229292,2020,Oct,4,"1,800","1,600",100,6.80%
Franklin,42055,3: SC Pa.,39.92956518,-77.72157791,2020,Oct,511,"77,000","72,500","4,500",5.80%
Fulton,42057,4: Cent Pa.,39.92913544,-78.11163677,2020,Oct,42,"8,100","7,300",800,9.90%
Greene,42059,5: SW Pa.,39.85746531,-80.22357106,2020,Oct,73,"16,500","15,300","1,200",7.10%
Huntingdon,42061,4: Cent Pa.,40.42162652,-77.97673273,2020,Oct,600,"19,800","18,300","1,500",7.80%
Indiana,42063,5: SW Pa.,40.65241041,-79.08963285,2020,Oct,460,"38,700","36,400","2,300",6.10%
Jefferson,42065,6: NW Pa.,41.12913106,-78.9986361,2020,Oct,105,"20,200","19,000","1,200",6.00%
Juniata,42067,4: Cent Pa.,40.53358749,-77.3997513,2020,Oct,51,"12,400","11,800",600,4.50%
Lackawanna,42069,2: NE Pa.,41.43564672,-75.60379201,2020,Oct,"1,252","100,200","92,700","7,500",7.50%
Lancaster,42071,3: SC Pa.,40.03904563,-76.24770128,2020,Oct,"1,884","289,500","274,500","15,000",5.20%
